video_id	status	detail
3_Vjx52LTZo	repaired	string/control-character cleanup
sRz4osFTV98	repaired	string/control-character cleanup
34UwCtltuAQ	repaired	string/control-character cleanup
8k5rtFdLJno	repaired	string/control-character cleanup
mSk1fo0bmmE	repaired	string/control-character cleanup
QY5am9TXLew	repaired	string/control-character cleanup
rcgQZA5aLT0	repaired	string/control-character cleanup
oem-P51ETjo	repaired	salvaged 14 complete segment objects
xYuEHCq--FA	repaired	string/control-character cleanup
T1mwHzczMM8	repaired	salvaged 22 complete segment objects
QTy8CMriXqU	repaired	string/control-character cleanup
GFHkEL1Sipk	repaired	string/control-character cleanup
UR5C2fA6teI	repaired	string/control-character cleanup
MVo8wPtN4eA	repaired	salvaged 15 complete segment objects
hrQx-SpeVPU	repaired	string/control-character cleanup
Nf67atcHW8M	repaired	string/control-character cleanup
QXKCjGn45o4	repaired	string/control-character cleanup
txX01AjDsTQ	repaired	string/control-character cleanup
oGSs1r_6m6E	repaired	string/control-character cleanup
BvZpRjl_uWs	repaired	string/control-character cleanup
Qgz1f2m93Io	repaired	string/control-character cleanup
ARRiIBi5l7I	repaired	string/control-character cleanup
eUMUuoU-WE4	repaired	string/control-character cleanup
i5ImCRHRxU8	repaired	string/control-character cleanup
xZDAEDOXf9A	repaired	string/control-character cleanup
-PoWxCQ6itk	repaired	string/control-character cleanup
DfjDADmpF_I	repaired	salvaged 11 complete segment objects
eCCn4trqYFc	repaired	salvaged 21 complete segment objects
dpwrS_9yWJo	repaired	salvaged 18 complete segment objects
3GWRLrkxmYM	repaired	string/control-character cleanup
DHqk0rATFL4	repaired	string/control-character cleanup
rCW0YGss-eo	repaired	string/control-character cleanup
47lhlQ1UMMs	repaired	string/control-character cleanup
xQNqH9zvCXQ	repaired	salvaged 19 complete segment objects
B5ZGqlvV19Y	repaired	string/control-character cleanup
2I5lPlBUOIU	repaired	string/control-character cleanup
4pPYmm9wJI0	repaired	string/control-character cleanup
53Ag6IKI5UQ	repaired	string/control-character cleanup
zjqGbzcs3gg	repaired	string/control-character cleanup
9k4VXR5266c	repaired	salvaged 19 complete segment objects
z5V3r_rZIAQ	repaired	string/control-character cleanup
fiMd-5_Ob90	repaired	string/control-character cleanup
zJBroLaZLu8	repaired	salvaged 14 complete segment objects
Sm4p6C6LUig	repaired	salvaged 26 complete segment objects
1sZaBCmjaYQ	repaired	string/control-character cleanup
goTACIX3zuw	repaired	string/control-character cleanup
m4tGbKgmLvw	repaired	string/control-character cleanup
tVHd_GmNbh8	repaired	string/control-character cleanup
0IWUHOTTNC0	repaired	string/control-character cleanup
wp2jExojDDU	repaired	string/control-character cleanup
DQYfjvpJSj4	repaired	string/control-character cleanup
Fu7eHNYYyHE	repaired	string/control-character cleanup
xAGKTxpgXiE	repaired	string/control-character cleanup
sA7dgJjc4rk	repaired	string/control-character cleanup
ZyiAShpZT7k	repaired	string/control-character cleanup
EmlcTpLJkh8	repaired	string/control-character cleanup
-GhND-zjUwg	repaired	string/control-character cleanup
-Wb_rWgHqww	repaired	string/control-character cleanup
ZQJ8JEmcW0Q	repaired	string/control-character cleanup
1N7L9-U3Fl0	repaired	salvaged 20 complete segment objects
m6qtPxtFAh0	repaired	string/control-character cleanup
-AolZeLrTXQ	repaired	string/control-character cleanup
YpQtfOobF9I	repaired	string/control-character cleanup
b4SP84ASur8	repaired	string/control-character cleanup
DL2jxxsV-FA	repaired	string/control-character cleanup
79mblDROb6U	repaired	string/control-character cleanup
X1y5oEBIu9k	repaired	string/control-character cleanup
GfUDt1aqSDA	repaired	string/control-character cleanup
NJ8dSEFQ9SI	repaired	string/control-character cleanup
P4vGNGx0lFk	repaired	string/control-character cleanup
4Vb0SrJwC3k	repaired	string/control-character cleanup
2dxdhsZPvsg	repaired	string/control-character cleanup
N4em7bSs-OE	repaired	string/control-character cleanup
SqSgsKehYQI	repaired	salvaged 18 complete segment objects
BnXZAWkijXQ	repaired	string/control-character cleanup
8PrjspdH0Sw	repaired	string/control-character cleanup
EKiUi9ClDW0	repaired	string/control-character cleanup
bvk1HhxuiCg	repaired	salvaged 33 complete segment objects
RBJEQq12_F8	repaired	string/control-character cleanup
3yE6RJ4IflI	repaired	string/control-character cleanup
e7m8EolgG4k	repaired	string/control-character cleanup
JGJcFBuz4gk	repaired	string/control-character cleanup
N7Sp-7Etfco	repaired	salvaged 19 complete segment objects
6az3lopn0ho	repaired	string/control-character cleanup
SXs1lpG0rUo	repaired	string/control-character cleanup
XI-G8rTjfrk	repaired	salvaged 13 complete segment objects
7buqG0G64tI	repaired	string/control-character cleanup
a1cWlX8SDPI	repaired	string/control-character cleanup
-Bclb_Qg6zk	repaired	string/control-character cleanup
x9oIHHhOdJs	repaired	string/control-character cleanup
nIJj9zl5HIE	repaired	string/control-character cleanup
0BaJirgBr3Y	repaired	string/control-character cleanup
